issue,buoy,n_hours,mae_kn,bias_kn,obs_fav_hours,obs_fav_mean_kn,fcst_fav_mean_kn,d_fav_kn,airport_offset_kn,airport_offset_fav_kn,retrieved_utc
2026-08-07,45027,391,2.29,0.72,227,5.82,6.9,1.08,0.31,1.0,2026-08-07T21:43:22Z
2026-08-07,45023,166,2.24,-0.92,49,7.86,8.17,0.31,-1.39,0.88,2026-08-07T21:43:22Z
2026-08-07,45027,391,2.33,0.67,227,5.82,6.87,1.05,0.31,1.0,2026-08-07T21:57:00Z
2026-08-07,45023,168,2.25,-0.87,49,7.86,8.21,0.36,-1.31,0.88,2026-08-07T21:57:00Z
2026-08-07,45027,397,2.37,0.59,229,5.84,6.84,1.0,0.3,0.99,2026-08-07T23:01:54Z
2026-08-07,45023,170,2.22,-0.86,49,7.86,8.21,0.36,-1.23,0.88,2026-08-07T23:01:54Z
2026-08-07,45027,397,2.37,0.59,229,5.84,6.84,1.0,0.3,0.99,2026-08-07T23:15:25Z
2026-08-07,45023,170,2.22,-0.86,49,7.86,8.21,0.36,-1.23,0.88,2026-08-07T23:15:25Z
2026-08-07,45027,397,2.37,0.59,229,5.84,6.84,1.0,0.3,0.99,2026-08-07T23:28:32Z
2026-08-07,45023,170,2.22,-0.86,49,7.86,8.21,0.36,-1.23,0.88,2026-08-07T23:28:32Z
2026-08-07,45027,397,2.37,0.59,229,5.84,6.84,1.0,0.3,0.99,2026-08-07T23:41:24Z
2026-08-07,45023,170,2.24,-0.84,49,7.86,8.21,0.36,-1.23,0.88,2026-08-07T23:41:24Z
2026-08-07,45027,397,2.37,0.59,229,5.84,6.84,1.0,0.3,0.99,2026-08-07T23:47:31Z
2026-08-07,45023,170,2.24,-0.84,49,7.86,8.21,0.36,-1.23,0.88,2026-08-07T23:47:31Z
2026-08-08,45027,274,2.93,0.63,185,6.18,7.25,1.07,0.01,0.54,2026-08-08T00:45:16Z
2026-08-08,45023,110,2.55,-1.34,21,8.33,9.16,0.83,-1.64,1.48,2026-08-08T00:45:16Z
2026-08-08,45027,274,2.93,0.63,185,6.18,7.25,1.07,0.01,0.54,2026-08-08T01:08:58Z
2026-08-08,45023,110,2.55,-1.34,21,8.33,9.16,0.83,-1.64,1.48,2026-08-08T01:08:58Z
2026-08-08,45027,280,2.93,0.68,190,6.12,7.25,1.13,0.06,0.6,2026-08-08T01:51:34Z
2026-08-08,45023,113,2.54,-1.28,24,8.1,8.92,0.82,-1.58,1.36,2026-08-08T01:51:34Z
2026-08-08,45027,286,2.93,0.72,194,6.06,7.22,1.16,0.15,0.67,2026-08-08T02:24:14Z
2026-08-08,45023,116,2.66,-1.13,27,7.7,8.96,1.25,-1.47,1.48,2026-08-08T02:24:14Z
2026-08-08,45027,286,2.93,0.72,194,6.06,7.22,1.16,0.15,0.67,2026-08-08T02:32:29Z
2026-08-08,45023,116,2.66,-1.13,27,7.7,8.96,1.25,-1.47,1.48,2026-08-08T02:32:29Z
2026-08-08,45027,286,2.91,0.68,194,6.06,7.18,1.12,0.15,0.67,2026-08-08T03:13:31Z
2026-08-08,45023,116,2.53,-1.27,27,7.7,8.37,0.67,-1.47,1.48,2026-08-08T03:13:31Z
2026-08-08,45027,298,2.93,0.51,206,6.21,7.06,0.85,-0.08,0.3,2026-08-08T05:49:40Z
2026-08-08,45023,124,2.59,-1.41,35,8.0,7.72,-0.28,-1.73,-0.08,2026-08-08T05:49:40Z
2026-08-08,45027,298,2.93,0.51,206,6.21,7.06,0.85,-0.08,0.3,2026-08-08T06:18:26Z
2026-08-08,45023,126,2.56,-1.4,37,7.88,7.56,-0.32,-1.76,-0.29,2026-08-08T06:18:26Z
2026-08-08,45027,363,3.23,-0.39,263,7.07,6.68,-0.39,-0.92,-0.99,2026-08-08T15:30:25Z
2026-08-08,45023,150,2.82,-1.74,59,8.96,7.44,-1.52,-2.34,-2.22,2026-08-08T15:30:25Z
2026-08-08,45027,370,3.21,-0.43,263,7.07,6.68,-0.39,-0.88,-0.99,2026-08-08T16:24:39Z
2026-08-08,45023,153,2.78,-1.69,62,9.12,7.7,-1.42,-2.36,-2.27,2026-08-08T16:24:39Z
2026-08-08,45027,370,3.21,-0.43,263,7.07,6.68,-0.39,-0.88,-0.99,2026-08-08T17:19:25Z
2026-08-08,45023,153,2.78,-1.69,62,9.12,7.71,-1.42,-2.36,-2.27,2026-08-08T17:19:25Z
2026-08-08,45027,370,3.21,-0.43,263,7.07,6.68,-0.39,-0.88,-0.99,2026-08-08T17:52:57Z
2026-08-08,45023,153,2.78,-1.69,62,9.12,7.71,-1.42,-2.36,-2.27,2026-08-08T17:52:57Z
