issue,period,obs_iso12_m,mdl_iso12_m,d_iso_m,obs_ml_c,mdl_ml_c,d_ml_c,verdict,n_clim_profiles,retrieved_utc
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T21:15:47Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T21:26:14Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T21:43:48Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T21:56:58Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T23:01:51Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T23:15:23Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T23:28:29Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T23:41:22Z
2026-08-07,08a,7.16,13.3,6.14,11.54,11.42,-0.12,ok,645,2026-08-07T23:47:29Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T15:30:23Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T16:24:37Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T17:19:23Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T17:52:54Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T18:06:46Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T23:40:32Z
2026-08-08,08a,7.16,11.4,4.24,11.54,10.41,-1.13,ok,645,2026-08-08T23:50:44Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T14:47:31Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T15:04:32Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T15:26:54Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T16:19:33Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T16:35:47Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T16:50:04Z
2026-08-09,08a,7.16,12.2,5.04,11.54,11.01,-0.53,ok,645,2026-08-09T17:07:18Z
