valid_date,chain,lead_h,issue_date,obs_iso_m,fcst_raw_iso_m,fcst_corr_iso_m,abs_err_m,persist_iso_m,persist_abs_err_m,obs_status,fcst_status,bias_source,glsea_anchor,retrieved_utc
2026-08-04,45216,24,2026-08-03,8.25,16.05,12.86,4.61,,,,,live,ok,2026-08-07T13:00:32Z
2026-08-04,45216,48,2026-08-02,8.25,14.34,11.74,3.5,,,,,live,ok,2026-08-07T13:00:40Z
2026-08-04,45216,72,2026-08-01,8.25,14.47,11.69,3.45,,,,,live,ok,2026-08-07T13:00:47Z
2026-08-04,45216,96,2026-07-31,8.25,15.64,10.99,2.74,,,,,live,ok,2026-08-07T13:00:54Z
2026-08-04,45216,120,2026-07-30,8.25,15.56,12.09,3.84,,,,,live,ok,2026-08-07T13:01:02Z
2026-08-04,llo1,24,2026-08-03,3.0,7.94,5.9,2.9,,,,,live,ok,2026-08-07T13:22:25Z
2026-08-04,llo1,48,2026-08-02,3.0,7.15,5.52,2.52,,,,,live,ok,2026-08-07T13:22:35Z
2026-08-04,llo1,72,2026-08-01,3.0,8.87,7.55,4.55,,,,,live,ok,2026-08-07T13:22:44Z
2026-08-04,llo1,96,2026-07-31,3.0,7.83,5.8,2.8,,,,,live,ok,2026-08-07T13:22:53Z
2026-08-04,llo1,120,2026-07-30,3.0,5.45,4.48,1.48,,,,,live,ok,2026-08-07T13:23:02Z
2026-08-05,llo1,24,2026-08-04,3.0,3.23,2.92,0.08,,,,,live,ok,2026-08-07T13:23:22Z
2026-08-05,llo1,48,2026-08-03,3.0,4.46,3.51,0.51,,,,,live,ok,2026-08-07T13:23:31Z
2026-08-05,llo1,72,2026-08-02,3.0,5.71,5.03,2.03,,,,,live,ok,2026-08-07T13:23:41Z
2026-08-05,llo1,96,2026-08-01,3.0,5.4,4.79,1.79,,,,,live,ok,2026-08-07T13:23:50Z
2026-08-05,llo1,120,2026-07-31,3.0,4.72,3.59,0.59,,,,,live,ok,2026-08-07T13:23:59Z
2026-08-06,llo1,24,2026-08-05,3.0,4.49,3.32,0.32,,,,,live,ok,2026-08-07T13:24:19Z
2026-08-06,llo1,48,2026-08-04,3.0,2.43,2.76,0.24,,,,,live,ok,2026-08-07T13:24:28Z
2026-08-06,llo1,72,2026-08-03,3.0,4.34,3.49,0.49,,,,,live,ok,2026-08-07T13:24:36Z
2026-08-06,llo1,96,2026-08-02,3.0,4.79,4.07,1.07,,,,,live,ok,2026-08-07T13:24:46Z
2026-08-06,llo1,120,2026-08-01,3.0,6.23,4.91,1.91,,,,,live,ok,2026-08-07T13:24:55Z
2026-08-07,llo1,24,2026-08-06,3.0,1.33,2.1,0.9,,,,,live,ok,2026-08-07T13:25:15Z
2026-08-07,llo1,48,2026-08-05,3.0,1.33,2.28,0.72,,,,,live,ok,2026-08-07T13:25:23Z
2026-08-07,llo1,72,2026-08-04,3.0,1.33,2.37,0.63,,,,,live,ok,2026-08-07T13:25:33Z
2026-08-07,llo1,96,2026-08-03,3.0,1.62,2.78,0.22,,,,,live,ok,2026-08-07T13:25:42Z
2026-08-07,llo1,120,2026-08-02,3.0,3.25,3.84,0.84,,,,,live,ok,2026-08-07T13:25:50Z
2026-08-08,llo1,24,2026-08-07,3.0,1.33,2.42,0.58,2.1,0.9,,,live,ok,2026-08-08T15:29:50Z
2026-08-08,llo1,48,2026-08-06,3.0,1.33,2.56,0.44,2.38,0.62,,,live,ok,2026-08-08T15:29:57Z
2026-08-08,llo1,72,2026-08-05,3.0,1.33,2.75,0.25,2.54,0.46,,,live,ok,2026-08-08T15:30:04Z
2026-08-08,llo1,96,2026-08-04,3.0,2.66,2.71,0.29,4.97,1.97,,,live,ok,2026-08-08T15:30:11Z
2026-08-08,llo1,120,2026-08-03,3.0,3.61,3.11,0.11,7.24,4.24,,,live,ok,2026-08-08T15:30:18Z
